timestep,start_lane,end_lane
18:35,9,2
18:37,17,1
18:37,16,2
18:37,5,13
18:44,22,7
18:44,21,8
18:44,20,14
18:44,10,19
18:45,11,18
18:50,9,2
18:52,5,13
18:53,16,2
18:54,4,14
18:55,17,1
18:58,15,8
19:01,11,18
19:01,10,19
19:01,22,7
19:01,21,8
19:02,20,14
19:07,17,1
19:07,16,2
19:08,5,13
19:10,4,14
19:10,3,18
19:12,15,8
19:14,12,13
19:14,22,7
19:17,10,19
19:17,21,8
19:19,11,18
19:20,9,1
19:23,4,14
19:23,5,13
19:24,17,1
19:25,16,2
19:29,17,18
19:30,10,19
19:32,11,18
19:33,22,7
19:33,21,8
19:35,17,18
19:39,16,2
19:39,5,13
19:43,12,13
19:44,21,8
19:44,22,7
19:47,20,14
19:49,11,18
19:49,10,19
19:51,4,14
19:51,6,7
19:53,17,1
19:55,6,7
19:56,17,1
19:56,16,2
19:59,22,7
19:59,21,8
19:59,20,14
20:04,11,18
20:06,10,19
20:08,17,1
20:08,9,1
20:08,4,14
20:11,16,2
20:13,17,18
20:14,15,8
20:15,22,7
20:15,21,8
20:15,20,14
20:20,11,18
20:22,12,13
20:22,10,19
20:24,11,18
20:25,10,19
20:26,16,2
20:26,4,14
20:27,17,1
20:31,6,7
20:32,22,7
20:32,11,18
20:32,21,8
20:35,10,19
20:37,11,18
20:39,4,14
20:39,20,14
20:45,17,1
20:46,16,2
20:47,15,8
20:48,11,18
20:48,10,19
20:51,22,7
20:52,12,13
20:52,21,8
20:55,4,14
20:58,16,2
21:01,15,8
21:17,10,19
21:17,6,7
21:17,20,14
21:22,16,2
21:24,11,18
21:26,4,14
21:27,6,7
21:28,17,1
21:30,16,2
21:30,15,8
21:32,17,18
21:33,22,7
21:33,21,8
21:37,20,14
21:38,11,18
21:38,10,19
21:40,9,2
21:41,5,13
21:44,3,18
21:45,4,14
21:49,15,8
21:50,16,2
21:52,21,8
21:53,20,14
21:54,22,7
21:56,11,18
21:56,10,19
21:58,4,14
21:59,3,18
22:02,5,13
22:06,17,1
22:06,16,2
22:06,15,8
22:10,20,14
22:10,22,7
22:10,21,8
22:12,11,18
22:12,10,19
22:15,4,14
22:15,5,13
22:17,3,18
22:21,15,8
22:23,17,1
22:23,16,2
22:26,12,13
22:26,11,18
22:26,10,19
22:27,21,8
22:29,22,7
22:33,16,2
22:33,17,1
22:33,15,8
22:34,6,7
22:35,5,13
22:35,3,18
22:40,22,7
22:40,21,8
22:42,20,14
22:43,10,19
22:45,11,18
22:48,22,1
22:51,17,1
22:51,16,2
22:52,12,13
22:53,6,7
22:53,4,14
22:54,3,18
22:57,10,19
22:57,15,8
22:57,22,7
23:01,11,18
23:02,21,8
23:04,6,7
23:05,4,14
23:05,3,18
23:06,17,1
23:06,16,2
23:13,10,19
23:13,11,18
23:16,21,8
23:16,22,7
23:19,17,2
23:19,16,1
23:20,3,18
23:22,4,14
23:25,9,2
23:27,22,7
23:27,21,8
23:28,11,18
23:28,10,19
23:34,17,18
23:34,16,2
23:35,6,7
23:36,4,14
23:37,17,18
23:41,10,19
23:42,9,2
23:42,11,18
23:44,22,7
23:44,21,8
23:48,17,18
23:49,16,2
23:49,4,14
23:54,9,2
23:55,10,19
23:55,11,18
23:55,22,7
23:56,21,8
24:01:00,4,14
24:01:00,5,13
24:01:00,17,1
24:01:00,16,2
24:04:00,17,18
24:05:00,22,7
24:05:00,21,8
24:06:00,11,18
