timestep,start_lane,end_lane
14:04,21,8
14:04,10,19
14:07,11,18
14:08,9,2
14:12,17,1
14:12,16,2
14:14,4,14
14:17,22,7
14:17,21,8
14:21,15,8
14:22,16,2
14:23,17,1
14:25,4,14
14:27,11,18
14:27,10,19
14:32,22,7
14:33,21,8
14:37,12,13
14:38,6,7
14:38,17,1
14:38,16,2
14:38,15,8
14:41,17,18
14:42,4,14
14:46,11,18
14:46,12,13
14:48,22,7
14:48,21,8
14:52,4,14
14:52,17,1
14:53,12,13
14:54,16,2
14:55,6,7
14:56,12,13
14:58,11,18
14:58,10,19
14:58,22,7
15:01,21,8
15:02,12,13
15:05,17,18
15:06,12,13
15:10,10,19
15:12,11,18
15:14,17,18
15:15,16,2
15:15,15,8
15:21,6,7
15:21,22,7
15:21,21,8
15:24,12,13
15:26,10,19
15:27,6,7
15:28,11,18
15:30,21,8
15:33,17,1
15:33,16,2
15:33,15,8
15:36,3,18
15:37,5,13
15:39,4,14
15:42,22,7
15:42,21,8
15:42,10,19
15:42,12,13
15:44,11,18
15:49,4,14
15:50,20,14
15:51,17,1
15:54,3,18
15:55,16,2
15:56,15,8
15:59,12,13
16:01,22,7
16:01,21,8
16:02,10,19
16:02,11,18
16:03,12,13
16:07,20,14
16:09,5,13
16:10,4,14
16:12,17,1
16:12,16,2
16:16,15,8
16:17,17,1
16:18,12,13
16:18,6,7
16:19,22,7
16:19,21,8
16:22,11,18
16:23,10,19
16:25,9,2
16:25,6,7
16:26,17,1
16:26,16,2
16:27,20,14
16:27,5,13
16:31,4,14
16:31,6,7
16:35,12,13
16:35,10,19
16:35,22,7
16:35,21,8
16:38,11,18
16:41,6,7
16:41,4,14
16:41,5,13
16:44,17,1
16:44,15,8
16:44,16,2
16:50,20,14
16:50,22,7
16:50,21,8
16:50,12,13
16:54,11,18
16:56,10,19
16:59,15,8
17:01,16,2
17:00,4,14
17:03,17,1
17:05,6,7
17:06,20,14
17:07,22,7
17:09,21,8
17:10,12,14
17:10,11,18
17:11,10,19
17:14,17,1
17:14,15,8
17:15,6,7
17:16,16,2
17:17,4,14
17:19,5,13
17:20,22,7
17:21,6,7
17:22,11,18
17:22,17,18
17:22,22,7
17:23,21,8
17:23,10,19
17:28,9,2
17:29,15,8
17:32,17,1
17:32,16,2
17:33,6,13
17:33,4,14
17:37,11,18
17:37,10,19
17:38,22,7
17:38,21,8
17:42,17,18
17:43,15,8
17:44,16,2
17:47,4,14
17:45,22,1
17:49,3,18
17:49,11,18
17:50,10,19
17:54,9,2
17:54,22,7
17:57,17,1
17:58,22,7
17:58,21,8
18:01,11,18
18:02,10,19
18:02,22,7
18:02,21,8
18:04,15,8
18:06,16,2
18:07,17,1
18:07,15,8
18:10,4,14
18:13,15,8
18:15,5,13
18:18,11,18
18:18,10,19
18:20,9,2
18:22,22,7
18:22,21,8
18:24,20,13
18:27,4,14
18:27,17,1
18:27,16,2
18:28,5,14
18:29,3,18
18:32,11,18
18:34,10,19
18:36,15,8
18:37,22,7
18:37,21,8
18:40,17,1
18:45,6,7
18:45,4,14
18:49,11,18
18:49,10,19
18:51,22,7
18:51,21,8
18:52,10,19
18:53,11,18
18:56,5,13
18:56,4,14
18:58,17,1
18:58,16,2
19:01,15,8
19:01,22,7
19:02,21,8
19:03,11,18
19:05,10,19
19:07,20,14
19:09,11,18
19:09,22,7
19:09,21,8
19:14,5,13
19:15,17,1
19:17,4,14
19:19,3,19
19:18,16,2
19:20,6,7
19:20,22,7
19:20,21,8
19:22,12,13
19:22,11,18
19:23,9,2
19:27,20,14
19:30,6,7
19:30,4,14
19:33,15,8
19:33,16,2
19:33,17,1
19:35,12,13
19:38,22,7
19:38,21,8
19:39,10,19
19:42,11,18
19:43,4,14
19:43,20,14
19:45,5,13
19:51,17,1
19:51,16,2
19:51,15,8
19:55,10,19
19:55,22,7
19:55,21,8
19:57,10,19
19:57,12,14
20:01,5,13
20:02,4,14
20:02,20,13
20:02,17,18
20:05,16,2
20:11,11,18
20:13,15,8
20:15,22,7
20:15,21,8
20:17,12,13
20:18,10,19
20:21,20,13
20:23,5,13
20:23,4,14
20:28,16,2
20:28,17,18
20:29,9,1
20:31,11,18
20:33,10,19
20:36,22,7
20:36,21,8
20:38,5,13
20:38,4,14
20:43,3,18
20:43,16,2
20:46,15,8
20:48,11,18
20:50,6,7
20:52,20,14
20:52,22,7
20:52,9,2
20:57,17,1
20:57,21,8
21:01,11,18
21:01,17,18
21:01,15,8
21:04,4,14
21:07,22,7
21:08,21,8
21:09,20,14
21:09,10,19
21:09,11,18
21:15,9,2
