timestep,start_lane,end_lane
17:25,4,13
17:25,5,12
17:28,21,8
17:28,22,7
17:31,17,18
17:31,20,13
17:33,10,19
17:35,11,12
17:39,16,1
17:39,15,2
17:39,22,7
17:42,14,8
17:43,3,19
17:44,6,8
17:45,4,13
17:46,5,12
17:49,20,13
17:50,11,18
17:51,10,19
17:51,9,2
17:58,16,1
17:58,15,2
17:59,14,8
17:59,3,19
18:02,4,13
18:02,5,12
18:07,17,18
18:07,11,18
18:08,20,13
18:08,21,8
18:08,22,7
18:09,10,19
18:16,4,13
18:17,17,18
18:17,16,1
18:17,15,2
18:18,5,12
18:19,3,19
18:21,17,18
18:23,11,18
18:24,10,19
18:26,21,8
18:26,22,7
18:28,21,8
18:31,17,18
18:31,16,1
18:31,15,2
18:36,9,2
18:38,14,8
18:40,3,19
18:41,16,1
18:40,15,2
18:42,5,12
18:43,4,13
18:47,21,8
18:47,22,7
18:51,3,19
18:51,10,19
18:51,11,18
18:55,17,18
18:55,4,13
18:56,22,7
18:56,5,12
18:57,15,2
18:59,16,1
19:01,14,8
19:03,20,13
19:03,21,8
10:05,22,7
19:05,11,18
19:05,10,19
19:05,9,2
19:08,21,8
19:09,4,13
19:09,5,12
19:10,3,18
19:12,22,1
19:16,16,1
19:16,15,2
19:16,14,8
19:19,15,2
19:20,21,8
19:20,10,19
19:20,11,18
19:21,21,8
19:21,22,7
19:28,4,13
19:29,3,19
19:30,5,12
19:33,15,2
19:35,17,18
19:35,16,1
19:36,14,8
19:39,10,19
19:40,21,8
19:40,22,7
19:41,11,18
19:44,10,19
19:45,3,19
19:45,20,13
19:46,17,18
19:47,4,13
19:48,5,12
19:50,14,8
19:52,22,1
19:54,16,1
19:55,15,2
19:55,17,18
19:57,10,19
19:59,11,12
20:01,21,8
20:03,20,13
20:04,4,13
20:05,3,19
20:06,5,12
20:06,6,7
20:09,15,2
20:09,16,1
20:10,17,18
20:11,14,8
20:13,10,19
20:13,11,18
20:14,21,8
20:14,22,7
20:15,9,2
20:18,22,1
20:20,5,12
20:20,4,13
20:22,15,2
20:22,3,18
20:23,16,1
20:23,17,18
20:24,14,8
20:27,22,7
20:28,10,19
20:28,11,12
20:30,22,7
20:30,21,8
20:32,9,2
20:33,15,2
20:33,16,1
20:33,17,18
20:35,17,18
20:35,5,12
20:35,4,13
20:35,22,1
20:39,14,8
20:40,21,8
20:41,3,19
20:45,4,13
20:45,5,12
20:45,10,19
20:46,20,13
20:52,17,18
20:52,16,1
20:58,16,1
20:59,10,19
20:59,11,18
20:59,21,8
20:59,22,7
21:06,17,18
21:07,5,12
21:07,22,7
21:08,4,13
21:10,22,1
